mp25,Temp,Prec,Estac
107.792,3.3,2.2,2
66.7084,5.3,0,2
38.875,6.2,0,2
34,7.3,3.2,2
60.4583,6.6,1.6,2
146.375,3.8,0.2,2
126.25,3.1,0.2,2
73.3478,3.8,0,2
16.2917,9.1,9.6,2
22.2917,9.3,12.2,2
13.7917,9.7,19.8,2
49,6.8,13.8,2
17.875,5.5,4.8,2
32.25,8.4,1.8,2
130.792,5.6,1.2,2
73.7084,4.6,0,2
157.708,7.5,0.2,2
73.6666,9.2,0,2
31.375,9.8,0,2
68.5416,6.4,5.6,2
22.4167,8.9,0.4,2
115.875,4.3,0,2
57.6667,6.5,0,2
36.375,7.4,1.6,2
76.7084,5.3,0,2
120.375,4.4,0,2
182.167,4.1,0.2,2
87.1666,5.1,0,2
84.5834,7.4,1.4,2
49.2917,9,0,2
65.1666,5.9,0.2,2
106,5.6,0.2,2
119.833,6.4,0,2
113.958,6.8,0,2
38.125,10.2,4.2,2
15.125,8.7,0.8,2
44.0417,6.5,5,2
79.5416,5.5,0,2
44.9167,.,0,2
58.2083,8,0,2
60.3913,9.1,0,2
28.7083,9.8,0,2
10.2917,11.8,0,2
17.875,10.9,43,2
58.4583,2.9,11.4,2
31.8333,5.9,0,2
68.0834,7.4,0,2
68.5,4.3,0,2
49.125,7,2.3,2
30.875,5.7,13,3
17.125,8.9,25.6,3
20.1667,10.2,0,3
28.125,7,0,3
38.7917,9,10,3
20.0833,10.4,1.4,3
22.125,8.5,0,3
11.9583,11.1,0,3
30.5417,10.2,0,3
30.9167,9.8,0,3
22.9583,11.4,0,3
42.875,10.6,0,3
13.2083,11.6,3.6,3
24.375,11.8,4,3
33.6191,8,11.6,3
12.2917,10.4,3,3
8.125,11.7,0.8,3
18.75,7.5,0,3
10.5833,8.7,0,3
22.7083,9.2,0,3
31.4167,7.1,2.4,3
16.2083,9.6,2,3
50.6667,5,1,3
21.4583,10.9,0,3
16.2083,10.8,0,3
13.9583,11.5,0,3
10.4167,16.1,0,3
10.8333,15.6,0,3
8.54167,11.9,3.2,3
8.52174,11.7,0.8,3
11.0833,9.9,0,3
15.125,9.4,0,3
10.1667,9.8,1.6,3
17.7083,12.7,0,3
26.0417,10.9,1.2,3
11.5,13.4,0,3
14.5417,8.9,5.2,3
14.0417,12,3.6,3
11.0833,9.9,1,3
10.9583,8.2,0,3
10.4583,9.7,0,3
8.41667,12.1,0,3
13.75,13.5,0,3
9.91667,16.9,0,3
10.45,13.5,0,3
8.625,14,0,3
10.6667,14.6,0,3
8.54167,13.8,0,3
7.45834,17.5,0,3
9.125,16.1,0,3
6.75,14.3,2.6,3
22.2083,13.7,19.8,3
13.5417,13.2,10.2,3
5.70834,13.4,8,3
6.79166,14.5,1,3
7.83334,15.7,1.6,3
6.33334,16.7,0,3
6.25,15.7,0,3
4.375,16.6,0,3
11.0833,10.5,1.6,3
7.5,10.7,0,3
9.16667,11.5,0,3
4.91666,14.7,0,3
3.33333,16.6,0,3
6.79166,14.1,0,3
6.91666,14,0,3
5,17.2,2.7,3
3.83333,17.3,19.9,3
5.58334,16.9,10.3,3
6.125,14.2,8.1,3
7.17391,12,1.12,3
7.25,12.2,1.18,3
6.79166,15.5,0,3
6.875,15.8,0,3
5.66666,16.2,0,3
4.54166,15.5,0,3
5,16.9,0,3
5.08334,16.7,0,3
5.75,16.2,0,3
4.70834,15.8,0,3
5.125,14.4,2.8,3
3.5,15.1,19.1,3
4.375,15.4,10.4,3
4.54166,15.6,8.2,3
4.79166,16.1,1.24,3
3.95833,15.4,1.3,3
3.95833,15.9,0,3
3.83333,16.3,0,3
4.41666,16.5,0,3
3.70833,18.3,1.8,4
3.125,16.2,0,4
3.54167,11.7,0,4
4.375,14.4,0,4
3.45833,18.3,0,4
5.86957,18.7,0,4
6.25,13.9,0,4
4.625,13.6,2.9,4
3.70833,14.7,19.11,4
